Student_id,Name,Math,Science,English,Total,Grade
1,Theodor Nanni,31,63,51,150,moderator
2,Krispin Goskar,94,5,94,272,6th generation
3,Raina Hugonnet,3,36,88,93,Synchronised
4,Mariquilla Lemmon,97,66,38,156,systemic
5,Kare Wallege,22,35,100,205,multi-state
6,Siana Blemen,52,34,55,38,monitoring
7,Westleigh Sharple,23,78,33,220,6th generation
8,Jodi Philipard,79,51,36,111,Multi-lateral
9,Kermit Sansam,11,85,9,68,capability
10,Sergio Buterton,2,91,80,40,Distributed
11,Isak Badham,74,46,85,288,portal
12,Guglielmo Rosendorf,28,65,29,93,Ergonomic
13,Edgard Boyan,91,24,70,92,Persistent
14,Tabina Antoniak,51,36,63,173,conglomeration
15,Kendell Snaith,76,67,40,141,Up-sized
16,Cordi Insworth,43,76,95,42,Exclusive
17,Zaneta Caroli,88,80,90,79,orchestration
18,Camila L'Episcopio,92,13,22,90,user-facing
19,Bengt Jatczak,93,47,87,192,solution-oriented
20,Oona Sueter,49,66,52,114,Down-sized
21,Perren Fardell,5,50,26,32,value-added
22,Francisco Broughton,74,67,60,214,synergy
23,Marcela Scurman,22,81,66,112,scalable
24,Ann Dukes,29,4,33,225,Expanded
25,Nichole Twelftree,74,67,2,161,system-worthy
26,Phillis Averall,6,42,7,283,methodical
27,Raddie Page,55,74,4,97,national
28,Elyssa Stewartson,4,10,34,227,fresh-thinking
29,Chiarra Vials,50,16,41,250,application
30,Maddalena Rouby,75,84,100,55,Progressive
31,Robbert Matthiesen,16,10,51,233,encoding
32,Pauletta Lawey,62,79,100,292,Automated
33,Alie Smewing,54,53,60,140,Reactive
34,Garvey Camell,53,94,12,98,asynchronous
35,Sherilyn Lightbowne,49,75,43,243,Stand-alone
36,Jaine Phizackarley,24,95,83,5,analyzing
37,Gayleen Vernazza,27,72,86,139,Team-oriented
38,Shaughn Birkenhead,47,12,19,247,contingency
39,Karina Dymidowski,24,1,3,245,leading edge
40,Gennifer Enriquez,55,17,33,108,Graphic Interface
41,Pieter Mitskevich,75,40,87,69,asynchronous
42,Georgette Gallier,100,6,57,128,Stand-alone
43,Jerad Nicolson,47,96,97,26,Self-enabling
44,Jessalyn Yoell,80,29,61,147,optimal
45,Pierre Rock,36,4,100,153,capacity
46,Neddy Fiennes,43,74,93,299,explicit
47,Ella Marzelle,70,13,78,247,Profound
48,Jandy Auston,21,88,81,218,synergy
49,Buddy Ilson,64,72,71,6,open architecture
50,Eilis Eslie,59,27,29,261,Reverse-engineered
51,Chariot Spaughton,73,82,54,231,User-friendly
52,Barbabas Illston,95,66,61,247,Sharable
53,Ezri Baseke,39,79,13,128,Operative
54,Aggie Schanke,16,10,2,24,dynamic
55,Bobbie Shurville,88,73,36,33,encryption
56,Grissel Lunnon,12,91,82,6,open architecture
57,Skell Attwoull,34,88,73,204,adapter
58,Rosalinde Dallaway,35,92,52,141,orchestration
59,Nickolaus Flemming,27,24,41,257,core
60,Atalanta Skim,58,46,94,158,matrix
61,Sisely Guerro,44,63,48,254,heuristic
62,Ula Haselwood,24,4,93,49,solution-oriented
63,Reade Pandya,87,84,43,21,real-time
64,Enrique Bazek,14,35,85,79,toolset
65,Kizzee Pettis,68,52,36,91,foreground
66,Chaim Joanic,24,68,52,239,emulation
67,Swen Cassely,79,2,62,127,Universal
68,Trudie Dorracott,17,97,1,280,intranet
69,Maia Caulcutt,54,61,40,80,logistical
70,Michel Arson,60,57,79,31,grid-enabled
71,Carina Lesaunier,90,84,100,187,frame
72,Harman Maureen,17,67,2,252,interactive
73,Reeta Handman,50,52,98,139,transitional
74,Christyna Kubalek,36,13,64,25,disintermediate
75,Laure Hasley,34,73,98,69,maximized
76,Karlyn McKern,58,32,74,278,encoding
77,Brantley Cockshott,81,44,25,23,extranet
78,Isobel Hamner,51,80,49,119,Sharable
79,Helga Zarfai,61,28,95,166,coherent
80,Andrea Mityushkin,35,91,77,259,structure
81,Rochell Allchin,99,88,86,221,array
82,Jeromy Gabe,67,25,46,84,Monitored
83,Guendolen Chaman,56,46,75,28,function
84,Jilly Seaborne,5,50,95,33,Realigned
85,Moina McPolin,34,66,52,104,bi-directional
86,Steffie Dunning,14,33,33,145,background
87,Moyra Lednor,24,79,27,18,Implemented
88,Rebecca Beddon,53,58,13,176,projection
89,Byrle Boughen,19,66,75,101,conglomeration
90,Reynard Burdge,95,72,73,177,function
91,Andra MacGinley,75,53,9,292,Streamlined
92,Aurea Reap,67,66,1,75,local
93,Thatcher Metzel,82,29,72,286,Innovative
94,Tam Orteau,11,60,31,244,optimal
95,Dene Patria,66,58,92,74,Right-sized
96,Pavla de Keyser,93,88,23,244,Object-based
97,Maxie Bolle,72,100,46,46,bottom-line
98,Caresse Ellard,36,67,25,97,Cross-platform
99,Leela Friedman,55,80,18,153,Digitized
100,Conn Huskisson,25,46,54,263,database
