id,name,email,gender,grade
1,Wanda Ciepluch,wciepluch0@narod.ru,Female,5.2
2,Darsie Olwen,dolwen1@vinaora.com,Female,3.2
3,Von Seagood,vseagood2@accuweather.com,Male,9.5
4,Griswold Attawell,gattawell3@lycos.com,Male,7.8
5,Janel Martinet,jmartinet4@google.co.uk,Female,3.2
6,Jennie D'Acth,jdacth5@ibm.com,Female,2.4
7,Flossy Hane,fhane6@webmd.com,Bigender,2.5
8,Jorry Offa,joffa7@soup.io,Female,9.6
9,Cathe Benford,cbenford8@1und1.de,Polygender,8.3
10,Roland Blackaller,rblackaller9@is.gd,Male,4.4
11,Joy Dow,jdowa@theglobeandmail.com,Female,4.7
12,Emyle Farman,efarmanb@fc2.com,Female,7.2
13,Regina Stoltz,rstoltzc@wix.com,Female,5.0
14,Gus Wilcot,gwilcotd@skype.com,Male,4.2
15,Dyna Likely,dlikelye@ed.gov,Female,6.2
16,Ruddie Mc Pake,rmcf@uol.com.br,Male,4.0
17,Carny Derrington,cderringtong@printfriendly.com,Male,4.2
18,Caprice McIlenna,cmcilennah@seesaa.net,Female,8.8
19,Paul Shevlan,pshevlani@flavors.me,Male,9.7
20,Theodoric Shee,tsheej@bing.com,Male,9.7
21,Engracia Cranfield,ecranfieldk@indiegogo.com,Female,5.0
22,Silvia Pullar,spullarl@opera.com,Female,6.9
23,Flin Roney,froneym@noaa.gov,Male,4.4
24,Erastus Jesse,ejessen@usatoday.com,Male,5.7
25,Millicent Elacoate,melacoateo@cisco.com,Bigender,6.5
26,Wiatt Elves,welvesp@mapy.cz,Male,6.9
27,Erinna Stonard,estonardq@dell.com,Female,5.8
28,Cristionna Hayen,chayenr@simplemachines.org,Female,2.3
29,Seward Spowart,sspowarts@senate.gov,Male,2.4
30,Maynord Barwack,mbarwackt@usa.gov,Male,6.8
31,Huberto Patis,hpatisu@a8.net,Male,1.5
32,Alexander Rawkesby,arawkesbyv@posterous.com,Polygender,4.9
33,Alain Jurgenson,ajurgensonw@blinklist.com,Male,5.5
34,Joellen Gartery,jgarteryx@stumbleupon.com,Female,3.2
35,Leigh Kingswood,lkingswoody@amazon.co.jp,Female,9.9
36,Robina Thor,rthorz@t-online.de,Female,2.0
37,Merna Gutowska,mgutowska10@example.com,Female,9.9
38,Orelie Windrus,owindrus11@state.gov,Non-binary,9.8
39,Sloan Greste,sgreste12@wsj.com,Male,6.1
40,Clarice Geraldini,cgeraldini13@admin.ch,Female,6.4
41,Sheilakathryn Goshawke,sgoshawke14@123-reg.co.uk,Female,5.6
42,Ardith Serginson,aserginson15@rediff.com,Female,8.7
43,Becka Belcham,bbelcham16@redcross.org,Female,3.3
44,Joelle Skoughman,jskoughman17@reverbnation.com,Female,6.2
45,Latrena Gonsalvo,lgonsalvo18@tinyurl.com,Female,1.2
46,Augy Camell,acamell19@gov.uk,Male,5.9
47,Candis Kirvell,ckirvell1a@rediff.com,Female,1.5
48,Camellia Childes,cchildes1b@noaa.gov,Female,4.5
49,Verna Pimlock,vpimlock1c@wiley.com,Female,8.4
50,Chandra Beranek,cberanek1d@flickr.com,Female,6.9
51,Alexis Arkell,aarkell1e@apple.com,Female,9.4
52,Auroora Kleen,akleen1f@uol.com.br,Bigender,8.3
53,Briggs Chansonnau,bchansonnau1g@bloglovin.com,Male,10.0
54,Gracie Goade,ggoade1h@ocn.ne.jp,Female,9.6
55,Tabatha Burril,tburril1i@blinklist.com,Female,2.8
56,Abram Valeri,avaleri1j@g.co,Male,6.6
57,Audrie Trassler,atrassler1k@moonfruit.com,Female,4.8
58,Nolly Foster,nfoster1l@statcounter.com,Male,7.9
59,Freddy Thomasson,fthomasson1m@photobucket.com,Female,3.6
60,Keeley Eskrigge,keskrigge1n@sfgate.com,Female,1.6
61,Mickie Verriour,mverriour1o@bigcartel.com,Female,1.7
62,Redd Demkowicz,rdemkowicz1p@plala.or.jp,Male,9.7
63,Roland Alu,ralu1q@admin.ch,Non-binary,2.7
64,Neel Fullerlove,nfullerlove1r@skyrock.com,Genderfluid,5.5
65,Sherwynd Scullard,sscullard1s@myspace.com,Male,4.4
66,Matelda Holstein,mholstein1t@last.fm,Female,4.3
67,Ira Smale,ismale1u@joomla.org,Female,4.1
68,Evania Tenney,etenney1v@google.nl,Female,3.1
69,Kerr Corden,kcorden1w@feedburner.com,Male,1.2
70,Neal Robison,nrobison1x@parallels.com,Male,2.8
71,Adrien Voaden,avoaden1y@360.cn,Male,3.1
72,Bernardo Bucke,bbucke1z@epa.gov,Male,3.5
73,Sydney Atkirk,satkirk20@fotki.com,Male,5.2
74,Grace Derdes,gderdes21@nature.com,Female,9.2
75,Nilson Harriday,nharriday22@ning.com,Male,3.8
76,Noah Brunet,nbrunet23@google.co.uk,Male,9.5
77,Ardra Makey,amakey24@amazon.co.uk,Non-binary,8.5
78,Gareth Boodle,gboodle25@dmoz.org,Male,5.4
79,Brand Kelley,bkelley26@wikipedia.org,Male,6.9
80,Chan Curm,ccurm27@live.com,Male,8.6
81,Philip Brigstock,pbrigstock28@indiatimes.com,Male,2.9
82,Lyndell Osbaldstone,losbaldstone29@cargocollective.com,Female,9.2
83,Pernell Vinnicombe,pvinnicombe2a@hc360.com,Male,4.7
84,Gallagher Laycock,glaycock2b@cornell.edu,Male,6.0
85,Ricard Pascall,rpascall2c@deliciousdays.com,Non-binary,4.8
86,Happy Instock,hinstock2d@google.com.au,Non-binary,6.7
87,Jinny Vasilov,jvasilov2e@qq.com,Genderqueer,9.6
88,Gaylene Du Plantier,gdu2f@example.com,Female,2.7
89,Wynn Domino,wdomino2g@hostgator.com,Male,3.0
90,Barrie Headington,bheadington2h@ucoz.ru,Male,5.5
91,Powell Dancey,pdancey2i@com.com,Male,3.9
92,Amara Segoe,asegoe2j@angelfire.com,Genderfluid,9.4
93,Melba Penwarden,mpenwarden2k@cbsnews.com,Female,5.8
94,Prescott Shillum,pshillum2l@angelfire.com,Male,7.9
95,Mano Ridley,mridley2m@e-recht24.de,Male,7.2
96,Sarajane Elnaugh,selnaugh2n@ucsd.edu,Female,4.2
97,Blanch Cratere,bcratere2o@sciencedirect.com,Female,7.4
98,Barbie Barszczewski,bbarszczewski2p@eventbrite.com,Female,3.5
99,Raoul Beacham,rbeacham2q@gizmodo.com,Male,1.7
100,Filbert McGifford,fmcgifford2r@sakura.ne.jp,Male,5.9
